Model,Accuracy,Macro_F1,Mean_Max_Probability,Mean_Confidence_Errors,Errors_Above_0.99,Error_Detection_AUROC,Error_Detection_AUPRC,Reviewed_Fraction_at_0.70,Error_Capture_at_0.70,Retained_Accuracy_at_0.70
Decision Tree,0.996875,0.8064746828624799,0.9998364207457615,0.9717440676486799,0.896,0.7205588965517241,0.1528052095828154,0.000125,0.024,0.9969496187023378
Random Forest,0.995225,0.742293666099453,0.9902991034955708,0.6829053154122565,0.08376963350785341,0.9788893307164747,0.3910150854927026,0.0078625,0.6465968586387435,0.9982991268851343
