Model,Accuracy,Macro_F1,Weighted_F1,Multiclass_Brier,Log_Loss,ECE_15_Bins,Maximum_Calibration_Gap,Mean_Max_Probability,Median_Max_Probability,Confidence_Std,Fraction_Confidence_Above_0.99,Fraction_Confidence_Below_0.70,Number_Routed_Below_0.70,Number_of_Errors,Mean_Confidence_Correct,Mean_Confidence_Errors,Median_Confidence_Errors,Fraction_Errors_Above_0.99
Decision Tree,0.996875,0.8064746828624799,0.9970281200005328,0.00599098762605008,0.06954882902154734,0.0029614207457613635,0.34351043557947913,0.9998364207457615,1.0,0.006860512520823293,0.9992125,0.000125,10,250,0.9999244845485737,0.9717440676486799,1.0,0.896
Random Forest,0.995225,0.742293666099453,0.9958840729741343,0.007575303397355425,0.02137869099294236,0.0051910943112161165,0.38626987589312956,0.9902991034955708,1.0,0.044120526290433094,0.9002625,0.0078625,629,382,0.9917739512316084,0.6829053154122565,0.6388164664589371,0.08376963350785341
