Configuration,Reports,"Strict structure, % [95% CI]","Prediction contract, % [95% CI]","Evidence contract, % [95% CI]","Unsupported-claim indicator, % [95% CI]","Error-reporting honesty, % [95% CI]","Token-limit rate, % [95% CI]",Mean words,Mean generation time (s)
A0 Template,300,"100.0% [98.7, 100.0]","0.0% [0.0, 1.3]","100.0% [98.7, 100.0]","0.0% [0.0, 1.3]","100.0% [97.5, 100.0]","0.0% [0.0, 1.3]",111.36,—
A1 Unconstrained,300,"100.0% [98.7, 100.0]","4.3% [2.5, 7.3]","0.0% [0.0, 1.3]","91.0% [87.2, 93.7]","100.0% [97.5, 100.0]","0.0% [0.0, 1.3]",179.99,9.93
A2 No SHAP,300,"0.0% [0.0, 1.3]","0.0% [0.0, 1.3]","99.7% [98.1, 99.9]","34.7% [29.5, 40.2]","100.0% [97.5, 100.0]","0.0% [0.0, 1.3]",107.69,5.72
A3 Full Evidence,300,"0.0% [0.0, 1.3]","42.0% [36.6, 47.7]","19.3% [15.3, 24.2]","2.0% [0.9, 4.3]","99.3% [96.3, 99.9]","7.0% [4.6, 10.5]",158.09,11.71
A4 Verified,300,"100.0% [98.7, 100.0]","100.0% [98.7, 100.0]","100.0% [98.7, 100.0]","0.0% [0.0, 1.3]","100.0% [97.5, 100.0]","0.0% [0.0, 1.3]",125.65,—
